q_source_id,m_source_id,tag
youtube_dsr__A332266567697285,amazon_dsr__B08VHW6HRQ,invalid
spotify_apidsr__0DelunkrdcznR51GHzu22Q,youtube_dsr__A604347352887706,invalid
scpp__14880000161140,scf__5995095_0,invalid
spotify__2LqKVC1xUlSmpk9HWqt5iq,apple__1442038707,invalid
apple__546513794,crawler_247__884501764674_US9PJ1200050,valid
crawler_247__828766867121_USLF20500054,youtube_dsr__A329646463986195,valid
crawler_believe__37445235,crawler_new247__GBCEJ0399751,invalid
crawler_idol__3217470,crawler_cupula__8433391447314_1_24_ESA011801755,invalid
scf__2970948_1,crawler_247__828766867152_USLF20500054,invalid
crawler_247__097037019990_MX2971400990,crawler_new247__USV351348006,invalid
spotify_apidsr__3MQfoljXlKtmK5O57RIs1E,crawler_247__822301201227_USL4Q0726417,invalid
spotify_apidsr__5hEnpgLcSkBEV5p9iKMTTw,spotify_apidsr__5yqiV26421pmbFpF2y907P,invalid
crawler_theorchard__192562524329_1_5_GBCEJ0399751,spotify_apidsr__19q9ZZKFJSD9R1DZY1U3Jw,invalid
scf__4646361_0,youtube_dsr__A951478769836518,invalid
spotify_apidsr__5ypMoToHdb9A3EwPV9rtpo,spotify_apidsr__29arfuMYx5wmEJ2dXABgBi,invalid
crawler_247__888002372901_PEMG91311003,tedald_spotify__4s5Ml6UHERYXoju4rtPlNr,valid
apple__1061760811,crawler_247__743551200429_USCGJ0650927,invalid
youtube_dsr__A246366052062226,crawler_believe__25412006,invalid
spotify_apidsr__7LcwUaGVaPaShK4lJpswHk,crawler_prosieben_commercial_s3__AB8DCC41-F557-4F94-8BA6-053A592E2BF6,invalid
apple__1491237429,crawler_247__711297468724_GBCEJ0399751,invalid
crawler_prosieben_commercial_s3__AE5F77A8-7100-4016-98AE-0CCA06EB123B,scf__2791997_0,invalid
crawler_theorchard__888002372901_1_3_PEMG91311003,crawler_gdeasia__2111679,invalid
spotify_apidsr__7DoiEM9490NagJK6mptaRG,crawler_believe__41324253,valid
crawler_ingrooves__FRX8721210453616841487169,spotify_apidsr__5L8Y2pPQSfohm0PvwBW7V3,valid
youtube_dsr__A485142816978395,youtube_dsr__A283260498149110,valid
spotify_apidsr__7K2SpnEa0wU5usF28cWfcl,youtube_dsr__A309928317913122,valid
youtube_dsr__A328860669141471,spotify_apidsr__7kzPHMVnyfmH1IZvFPG6Wm,invalid
youtube_dsr__A365471713093381,spotify_apidsr__7ooTJDhfYFvPelHtVSb7cY,invalid
spotify_apidsr__6vDKWTfMz2AhhYj53eCDZu,spotify_apidsr__4dsiR5cfxfk3JXkpeMSK1s,invalid
youtube_dsr__A975712626072190,spotify_apidsr__5f8WEg7wAmixY8uRHPcoMY,invalid
crawler_xelonentertainment_ftp__851209,spotify_apidsr__6PzQRzSsz7QMe4Zs0ohMeh,invalid
crawler_theorchard__196292250411_1_1_QMFME2172333,spotify_apidsr__0KVUloRKqUnx3FFSYpKPX2,invalid
spotify_apidsr__4p6fveZUzWHvEaW9oGa9vJ,spotify_apidsr__5gUNcTj29UbvM7o2rOvz2B,invalid
spotify_apidsr__32ASW7GF97BM6OLCmr3NRu,spotify_apidsr__1xfFVYAQNBpmZDNXlLXMJu,invalid
spotify_apidsr__4PrtE3r4sC6b4u4I8c8Gep,spotify_apidsr__6eHZgQOweUJHBvWcJoj9b7,invalid
amazon_dsr__B08SHZTJKP,crawler_warnerdigitalcontent__075679783523_1_1_USAT22101810,invalid
spotify_apidsr__5Kk0r4rWZF2OBdjpmfKcy2,spotify_apidsr__6l5Z5nTkzcJN1pU8qGZOcL,invalid
spotify_apidsr__4INwOOsouvadjZ4MewXkuj,spotify_apidsr__5YCgfYOYVCuN3jCORgC6zs,invalid
spotify_apidsr__5seMK7G2JuHiwOfPicNQnj,crawler_warnerdigitalcontent__190296646027_1_4_USAT22102448,invalid
spotify_apidsr__7L4uoldewco6eFlkAvUo87,crawler_believe__38682898,invalid
itunes_dsr__1573291781,spotify_apidsr__5ilEZTfxJdQuyJQbACC9MJ,invalid
spotify_apidsr__5VmU9yNYgngoLZnvzozZRO,crawler_believe__39612454,invalid
crawler_warnerdigitalcontent__075679779861_1_1_USAT22102208,spotify_apidsr__3lE1yzylf23tnA2vG2tfkr,invalid
spotify_apidsr__1AT3PrwQUAa6cxsXk1TZde,spotify_apidsr__7ENRYGt6wuyKY2NhPRyQJV,invalid
crawler_sonydigitalcontent__A10328E0009887997V,youtube_dsr__A780183649634587,invalid
spotify_apidsr__71BVrqAzvO9GRwIniThAyB,crawler_theorchard__888831579830_1_8_US6R21432256,invalid
spotify_apidsr__5L0L28GVDG03WT0Q1UFpHT,spotify_apidsr__6I6FWb9NVo3QprEuKAgaVC,valid
spotify_apidsr__0zPalZzG8x2g0BPfG9qmIu,crawler_new247__USG4J0600065,invalid
crawler_kontor__4016036000170_DEE990700313,spotify_apidsr__0zsZoNGumG921EUBJN6Ber,invalid
spotify_apidsr__4LfkgqOoCFJESvWjMSWYb2,spotify_apidsr__0MhPBGTsefgcQrEXA5LKZL,invalid
crawler_umgna__00602547143853_1_5_USWB18200019,crawler_believe__42174498,invalid
spotify_apidsr__2Bv89zbEiTAa4oNhcHyioc,crawler_wmg__075596004862_00005,invalid
spotify_apidsr__4Q7IKYpyBnxIPzvf0eotiG,spotify_apidsr__1puJ5mkVPp64cFvOe9ySHV,invalid
crawler_believe__27146967,spotify_apidsr__3fZwIBPTy9vG8yryNti1mM,invalid
spotify_apidsr__4UUkkwHNoBnYwJ0EcwShTl,scpp__160005922336,invalid
spotify_apidsr__5MeE7YYCqzEtehJXmS7fiU,spotify_apidsr__5mdjd2JZxFCAsL2hnZgJ1l,invalid
apple__409143494,youtube_dsr__A725554700608249,valid
spotify_apidsr__65GJ0anCbmtWBXp7oQUg8K,spotify_apidsr__0OTEFOT0TJiCMFg2Nr4nnX,invalid
crawler_dittomusic_ftp__1131642,youtube_dsr__A424294156347681,invalid
spotify_apidsr__4z3aBwHvKPn6QcEdHfwnJU,spotify_apidsr__0sYfnjeJGctLLRyGLzit4I,valid
crawler_247__9008798085132_ATR981130643,spotify_apidsr__2sCjAWqTQeMhCHsZy3skI3,invalid
youtube_dsr__A537755852973928,crawler_247__3610155520000_FR4GL1076862,invalid
spotify_apidsr__64VDNojMK1crDdPeXJdxLT,spotify_apidsr__4rloVC7NAyZbZsnX07NdCk,invalid
apple__959631106,spotify_apidsr__26PcUuaOnuRxpc4t4JWiOo,invalid
scpp__10178654711,crawler_believe__44555130,invalid
youtube_dsr__A994733797964958,amazon_dsr__B08QSMPWK6,invalid
crawler_phononet_ftp__01010580052112017367822738,spotify_apidsr__7v4VCRTRHfictYWdmSkYma,invalid
youtube_dsr__A200671211142199,crawler_warnerdigitalcontent__190296764868_1_26_NLZ542002234,invalid
youtube_dsr__A730678355803645,crawler_believe__33240898,valid
apple__1541898332,youtube_dsr__A567014560597492,valid
spotify_apidsr__5nYoUo02fOa3KfTuOaNwoz,crawler_phononet_ftp__01010580052112017367833877,valid
spotify_apidsr__4SUk1ZTtA6OC120afxrpRZ,crawler_warnerdigitalcontent__190296638954_1_1_NLZ542100941,invalid
youtube_dsr__A552541974410849,spotify_apidsr__0AiutyM63Meqk04YevpBba,invalid
spotify_apidsr__3k5pNgAU7lZp42m0a0Q4zZ,crawler_warnerdigitalcontent__190296729065_1_45_NLZ542002234,valid
crawler_phononet_ftp__01010580052112080048277206,crawler_symphonic_ftp__197077441604_1_1_QZTRX2274824,invalid
crawler_warnerdigitalcontent__190296690310_1_47_NLZ542002234,tedald_spotify__4SUk1ZTtA6OC120afxrpRZ,valid
crawler_fuga__5057272467029_1_1_UKR6V2093073,youtube_dsr__A362304070384872,invalid
apple__1545181211,youtube_dsr__A777005607268863,invalid
youtube_dsr__A880676560659838,youtube_dsr__A130294207296989,invalid
youtube_dsr__A332789789081885,spotify_apidsr__03dv5RoxNAGaOOz36b03gy,invalid
youtube_dsr__A835940525207458,spotify_apidsr__4b5Y69ORQteRzrsWqlDctx,invalid
crawler_warnerdigitalcontent__190296650291_3_11_NLZ542002234,itunes_dsr__1545181211,valid
youtube_dsr__A123758721736846,crawler_warnerdigitalcontent__190295044176_1_1_NLZ542002234,valid
youtube_dsr__A598065201987858,youtube_dsr__A129195486131504,invalid
tedald_spotify__7v4VCRTRHfictYWdmSkYma,youtube_dsr__A152108884498749,invalid
youtube_dsr__A752355059413222,spotify_apidsr__5h42cXVRMJVJIoQLY0qn9G,valid
crawler_cdbaby__TR0008201682,spotify_apidsr__3gGP6h6FGBtcIT3SNqIpHl,valid
crawler_emidigitalcontent__00602445047642_USHM82083193_R1,youtube_dsr__A644757601088714,valid
apple__1523789970,youtube_dsr__A754526491970649,valid
youtube_dsr__A301209131907522,crawler_247__0760137793526_USY251523891,valid
youtube_dsr__A141259193925809,apple__1032796330,valid
crawler_new247__USY251523891,spotify_apidsr__28563QspHlQ7nQheOTgcn7,valid
amazon_dsr__B073R4FDF5,apple__932483469,valid
crawler_247__00602547118493_FRUM71402811,scpp__10150942180,valid
crawler_new247__FRUM71402811,crawler_emidigitalcontent__00602547118523_FRUM71402811_R11,valid
itunes_dsr__1440815305,apple__1442332237,valid
crawler_emidigitalcontent__00602547118493_FRUM71402811_R11,itunes_dsr__1606833140,valid
spotify_apidsr__666ml7se6LQntlMMsTbjUG,amazon_dsr__B09R3SL8LH,valid
crawler_universaldigitalcontent__00602547118523_1_11_FRUM71402811,spotify_apidsr__4FzGx0UiusrwGAyrDKZYrk,valid
apple__1440815305,youtube_dsr__A117898306565778,valid
spotify__4lsOsGMzO1yCjGVucoWOZ1,spotify_apidsr__2etKTqytcXczeEGZ3WeAg4,valid
spotify_apidsr__1sZz8jHtBaoxXEM9ytVmyt,spotify__4FzGx0UiusrwGAyrDKZYrk,valid
youtube_dsr__A959476000471032,spotify_apidsr__4Vu6i73EGkKZazqBDxxuPM,valid
spotify_apidsr__4lsOsGMzO1yCjGVucoWOZ1,crawler_universaldigitalcontent__00602547118493_1_11_FRUM71402811,valid
spotify_apidsr__3JsNKQLaRN1BdQS9503i2V,youtube_dsr__A166677832833190,invalid
crawler_recochoku_ftp__1023307233,spotify_apidsr__1t9yYawscJzuZPNInppUss,invalid
crawler_recochoku_ftp__1017073520,spotify_apidsr__74oc8ShP3bNq2MitSRqD96,invalid
spotify_apidsr__0L8FzPErgzY0NjpMX496je,youtube_dsr__A587055410215501,invalid
spotify_apidsr__4A1guuO02D1WhwA6qw9DCU,spotify_apidsr__1WbrviZY59SUJI1zw2J2sc,invalid
spotify_apidsr__35oNqplGalYFOcdamBPu7F,spotify_apidsr__5IGyaphJUwecZzo8v5UHFi,invalid
spotify_apidsr__1Wx8WM4uD8ne0HjMTls0ek,youtube_dsr__A232533157586393,invalid
crawler_cdbaby__TR0009221520,youtube_dsr__A256591104159712,invalid
youtube_dsr__A493693540120902,spotify_apidsr__6KxWhBNMdiT2e8FWCTlk5y,invalid
youtube_dsr__A628987488571013,spotify_apidsr__1AdV5yUESvXuncwABORnQs,invalid
youtube_dsr__A430237686208526,crawler_xelonentertainment_ftp__817449,invalid
youtube_dsr__A892096922539378,spotify_apidsr__0NB39r7A9U4xAkzU1GQZbv,invalid
spotify_apidsr__5C4hbfWeIDjGyJrYI7xtLS,spotify_apidsr__2zUbiMD5aVoQLYBB0YiRPE,invalid
crawler_ingrooves__USA2P2105352192641661839,spotify_apidsr__44nAVMK6aCKmA9HcgFMfdD,invalid
spotify_apidsr__5FD2a1xON14OgKYxRpZhrq,youtube_dsr__A574396898105275,invalid
spotify_apidsr__7I7lBMlHwmtkDHSIFvZjRg,crawler_fuga__8717472334909_1_6_NLK072000172,invalid
spotify_apidsr__5bsEDFkajJ8gij2gDeLsZq,spotify_apidsr__4vy1RotKCE0qpxw3GZyLXS,invalid
spotify_apidsr__5xgq4g46qlKy7JXPt4chny,youtube_dsr__A768451147607725,invalid
spotify_apidsr__0vftvjOPFGqmUPww390YE6,spotify_apidsr__17KuduLYgunVDp06FyO2rk,invalid
spotify_apidsr__7tR4g69bDswjvNMvwlSS4t,crawler_ingrooves__USA2P2105351192641661839,invalid
spotify_apidsr__5XmV0KTPDTjLFe8gOD5FHb,crawler_warnerdigitalcontent__190295317799_1_4_FRZ041800793,valid
crawler_phononet_ftp__01010580051811016820208206,youtube_dsr__A307712155761608,valid
crawler_warnerdigitalcontent__190295506285_1_6_FRZ041800793,crawler_fuga__8033116181884_1_22_ITJ872100336,invalid
itunes_dsr__1439806292,apple__1442592477,valid
crawler_theorchard__196292111880_1_11_FRZ041800793,apple__1442128207,valid
crawler_warnerdigitalcontent__190295514624_1_1_FRZ041800793,crawler_warnerdigitalcontent__190295143312_1_4_FRZ041800793,valid
spotify_apidsr__0cqQiT3fGyOm2MMm3Mnr4j,crawler_warnerdigitalcontent__190295530631_1_4_FRZ041800793,invalid
spotify_apidsr__4RZhGffvmxzgE7RzFHN19M,itunes_dsr__1484019268,invalid
crawler_warnerdigitalcontent__190295294229_1_3_FRZ041800793,apple__1434411599,valid
crawler_yle__618d195e8b357d01b442ac55,crawler_warnerdigitalcontent__190295329389_1_4_FRZ041800793,valid
apple__1464733851,itunes_dsr__1439927924,valid
crawler_believe__39181072,spotify_apidsr__0DSrgoc7iDdFMBhQ2ghrbL,invalid
apple__1435784228,apple__1484699736,valid
tedald_spotify__1Bhm5HNO1cq8olDbBmokyL,youtube_dsr__A900977670833385,valid
spotify_apidsr__6j7hxIIACYe6WTCjBBPZVz,spotify_apidsr__7kKpie7V0WDDQ4zYUz2f3O,invalid
apple__1444214121,scf__6023294_0,valid
crawler_warnerdigitalcontent__190295346645_1_4_FRZ041800793,crawler_cdbaby__TR0010796772,invalid
youtube_dsr__A135191619294300,youtube_dsr__A782750539337517,invalid
spotify_apidsr__2aGm9IOSnXuYpALFemGvHd,spotify_apidsr__2igfa0X6PbPEI1TeDkuLHh,invalid
youtube_dsr__A625324797795945,crawler_warnerdigitalcontent__190295503420_1_3_FRZ041800793,invalid
apple__1468301460,spotify_apidsr__39KqxAYmfqSltDGKPrzfZ6,invalid
apple__1488454481,apple__1487728565,invalid
spotify_apidsr__1rVP1zxtF4bLP7EWf70AVt,spotify_apidsr__5FNBd4FJ47zvT20j18NFlD,valid
apple__1459798241,youtube_dsr__A348654327723265,invalid
crawler_warnerdigitalcontent__190295270643_1_3_ITV951900009,apple__1136461509,invalid
scpp__40051535363,spotify_apidsr__4QXCmg3dEEMZqqD3wKGNTb,invalid
crawler_247__093624973966_US4K30600024,apple__1499118759,invalid
apple__1472506307,scf__7335326_0,invalid
apple__1519013685,youtube_dsr__A854790752468232,invalid
tedald_spotify__4tknhO5RmXIxnpoipMKBmG,spotify_apidsr__6TfAp1WYEipIKDJkPmJlYY,invalid
apple__1485282425,crawler_ems__4066004046723_1_4_DEXO32191545,invalid
apple__1490956874,apple__1545943441,invalid
spotify_apidsr__10tyQxTlKbegVaX6wqkl72,youtube_dsr__A934084373597037,invalid
crawler_believe__39512451,youtube_dsr__A607529596707713,invalid
amazon_dsr__B07Q4FWPS2,apple__1532063111,invalid
apple__1008840914,apple__1476271262,invalid
crawler_onerpm_ftp__616582843500_1_1_QZNJY2108777,crawler_phononet_ftp__01010580021912113714981333,invalid
crawler_cdbaby__TR0009915641,crawler_cdbaby__TR0009915648,valid
apple__1476148220,spotify__3yroe4SLc6SRnazmYuBZ9m,invalid
spotify__0PlFmJlfungRs3oOJFjvKA,spotify_apidsr__6JgMFK3adYT1xdAoVTccPm,invalid
crawler_ingrooves__USA2P1693776889326774167,spotify_apidsr__7wH5ruoYxqPTliy6OrcSBO,invalid
spotify__3RiPr603aXAoi4GHyXx0uy,spotify_apidsr__3UFhn8lMEKACoe6CH8LEr6,invalid
apple__1271479535,crawler_sonydigitalcontent__A10328E0008345833F,invalid
spotify_apidsr__4EQh79quNs5K09GcpljMlj,spotify_apidsr__1Z3ACjDwEbsrvaFLg3fHef,invalid
crawler_new247__USCGJ1674970,scpp__9300012316498,invalid
crawler_247__3614970921967_FR59R1670237,spotify__22zzq8uHV5QywhDxgvxsb0,invalid
spotify_apidsr__3qb0RPmMkBMZJ0tJZNOtcg,spotify_apidsr__4UCwrSiCOSlMIkwcK60TxR,invalid
crawler_warnerdigitalcontent__885012029948_1_2_GBAYE1600763,tedald_spotify__0G84JvXvVidXdrNPb76Pdn,invalid
spotify_apidsr__5jy7iF2TT739tW4nwqmPw1,crawler_ems__4032989312795_1_35_DEYQ92100079,invalid
apple__1417827461,apple__1232234750,invalid
spotify_apidsr__50fhfMb1zRFARYm2kPKLH7,spotify_apidsr__1v2lhGBeMSRgjeK6XEVsVE,invalid
apple__1302628770,spotify_apidsr__4FV710aOB2NUWhmgiTwN4S,invalid
spotify__4kU74QpZRasLtXpeekP6Oj,crawler_kontor__4032989312429_DEYQ92100079,invalid
apple__1146027808,crawler_believe__36805417,invalid
apple__1195200995,crawler_phononet_ftp__01010580051608027441143281,invalid
apple__1530464258,apple__1440752464,invalid
spotify__6YimWlAb8EHZjzpeeMPWNe,spotify__6YnOSA6gNE8Cz79ww0YH9X,invalid
crawler_chercheradio__e05f6964c4238895b22da5d5ce4cba4e,crawler_ems__4251513915565_1_27_DEVU51738202,invalid
tedald_spotify__1RGhmsdJd8mnYWpZTyftxA,crawler_sonydigitalcontent__A10328E00083175759,invalid
spotify_apidsr__6HVZCYPur17eoQspuVbTaA,crawler_theorchard__191018381776_1_9_ARF411601100,invalid
youtube_dsr__A147884744735812,youtube_dsr__A184050242199551,valid
spotify_apidsr__1A5y6BZfy1L5Niu8QQ0mH9,spotify_apidsr__3naHjRe6euu92AY9Bq52aA,invalid
spotify_apidsr__4MsxMe2mKMsqoSAamhM2Jr,apple__1494551109,invalid
apple__1530462045,spotify_apidsr__3suQLBbxUZAJsBq8AiLWtu,invalid
apple__1486661238,spotify_apidsr__464O9uOVYZ7qEn1gHejORn,invalid
youtube_dsr__A347595779421688,spotify_apidsr__5mpFe8OSONY3GDw4ySPNSV,invalid
apple__1538223178,spotify_apidsr__1CNcbGqdeZddLPDjTU0RcC,invalid
crawler_believe__38158037,apple__1464322549,invalid
youtube_dsr__A239418082072889,spotify_apidsr__5YftnwVQVI3gNoaPYAaoUl,invalid
spotify_apidsr__1HvNRE9o0lrbEF6BRVqAxq,apple__1545019386,invalid
crawler_emidigitalcontent__00602438717132_ARF362100168_R1,spotify_apidsr__0lI9thci48313NJklnJyPe,invalid
spotify_apidsr__28hKMWkZSx31RA3AECubnG,tedald_spotify__5FAHez6sABh8Eg7veu1NnD,valid
spotify_apidsr__0CoNLZyFUopVNUbwV6DfT8,spotify_apidsr__3fCJeQDRqpeiQ3jwmVAjfr,invalid
apple__1475382608,youtube_dsr__A722154622338354,invalid
crawler_believe__39763822,spotify_apidsr__2JREETbeRHw0Wq1Yr230iN,invalid
crawler_emidigitalcontent__00602448546579_DEUM71807062_R2,youtube_dsr__A923755434861956,invalid
tedald_spotify__6J9RJJfuD2r7TEghxCPwn9,spotify_apidsr__0v63naqJ05tYFWNZLpfO31,valid
spotify_apidsr__4UwJ9ZKS714fCg5Xo4Wbjw,spotify_apidsr__6PSTW1tauWctHkOJFi6uvW,invalid
spotify_apidsr__0UwrAxSTYy14dzRw5VsxNQ,apple__1485288844,invalid
apple__1495399247,apple__1511537005,invalid
spotify_apidsr__1XTCOf5Y03oBkFuj8hFq08,spotify_apidsr__36AiYovNwSOU0neybkaZ1M,invalid
crawler_ritmonet__5d557436-9ec2-11ea-ac69-002590868410,crawler_phononet_ftp__01010580022005045225803566,valid
youtube_dsr__A889241368995718,youtube_dsr__A875813070603149,invalid
spotify_apidsr__13Xxg3WVxHdKT8J3AKieAr,youtube_dsr__A531827969290528,invalid
crawler_dittomusic_ftp__3190704,crawler_nrkcommercialdma_ftp__NONRE415332HD0001,invalid
spotify_apidsr__7FOgtBTPWCvPr3FiP4sF37,spotify_apidsr__28RFW60woTdaEF3sSILQzw,invalid
spotify_apidsr__1N5x2DdZM0VYlTVrSNloIB,amazon_dsr__B086VV6WR6,valid
crawler_dittomusic_ftp__3190611,youtube_dsr__A834491252001383,invalid
crawler_247__859715853254_TCACJ1544888,crawler_dittomusic_ftp__3066895,invalid
crawler_dittomusic_ftp__3082945,itunes_dsr__1512801363,invalid
crawler_emidigitalcontent__00610019752601_USSYS2003525_R14,crawler_phononet_ftp__01010580022005045225804884,invalid
crawler_yle__6038ed3cbedb54015efa58a6,crawler_dittomusic_ftp__3045289,invalid
crawler_dittomusic_ftp__3046995,itunes_dsr__1506832357,invalid
spotify_apidsr__68s9CHBq6wcDatfulV0w7y,spotify_apidsr__37Veejo3RiKuUJlozbE9yF,invalid
spotify_apidsr__3SM2mCkb2R8x2Mt0UBdwj4,youtube_dsr__A984029559608808,invalid
apple__15215143015880001,crawler_sonydigitalcontent__A10328E00096555595,valid
spotify_apidsr__0mvhbQopqSqUAG757xmsup,spotify_apidsr__7gkYBFjDygBk4yJhmthqh9,invalid
apple__1511621374,crawler_247__634479534317_USX9P1103073,invalid
amazon_dsr__B086VTWFVZ,apple__1523512227,valid
crawler_yle__6038ed63bedb54015efa762c,youtube_dsr__A460480785003721,invalid
crawler_dittomusic_ftp__2940028,spotify_apidsr__3wn2b420LOCp3A1TkeYszg,invalid
crawler_247__888003529762_QMDA61391227,crawler_247__884385828875_GBQRF0836149,invalid
